排名,關鍵字,搜尋量,建議出價,更新時間
1,垃圾袋,986868,14.00,2026-4-23 04:29:04
2,手機殼,695563,12.06,2026-4-23 05:04:12
3,衛生紙,586898,11.66,2026-4-23 12:28:51
4,口罩,542829,11.92,2026-4-23 08:57:23
5,戰鬥陀螺,529281,13.86,2026-4-23 02:07:15
6,短褲,492188,12.00,2026-4-23 03:13:44
7,外套,477077,12.06,2026-4-23 04:40:30
8,洋裝,454288,13.86,2026-4-23 04:08:16
9,行動電源,449479,13.00,2026-4-23 04:38:04
10,拖鞋,449120,13.86,2026-4-22 10:49:38
11,owala 水壺,418312,11.92,2026-4-23 11:12:18
12,水壺,399676,12.06,2026-4-23 04:36:40
13,襪子,389103,12.06,2026-4-23 04:59:11
14,塑膠袋,376993,13.86,2026-4-23 04:31:24
15,安全帽,373201,13.86,2026-4-23 01:23:23
16,濕紙巾,367689,12.06,2026-4-23 04:59:16
17,雨衣,331805,12.06,2026-4-23 04:52:28
18,後背包,321720,12.06,2026-4-23 04:48:35
19,內褲,321604,11.66,2026-4-22 09:53:37
20,睡衣,320675,12.06,2026-4-23 04:45:21
21,手機掛繩,320487,13.86,2026-4-23 01:49:52
22,內衣?,316402,280.0,2024-4-26 10:11:16
23,耐熱袋,302291,13.86,2026-4-23 10:03:51
24,背心,301309,12.06,2026-4-23 05:04:49
25,耳機?,290266,92.23653,2024-4-26 10:11:16
26,電風扇,285882,12.06,2026-4-23 04:43:38
27,襯衫,283017,11.66,2026-4-23 12:26:25
28,行李箱,271413,11.92,2026-4-23 02:50:58
29,手套,269638,11.92,2026-4-23 04:04:12
30,包包,269252,13.60,2026-4-23 04:19:21
31,收納,267067,12.06,2026-4-23 04:50:13
32,衣架,261000,24.00,2026-4-23 12:46:18
33,收納盒,251947,13.86,2026-4-23 04:58:21
34,內衣,249518,20.00,2026-4-23 03:57:18
35,耳機,246307,11.92,2026-4-23 03:56:29
36,洗衣精,244541,11.92,2026-4-23 04:11:21
37,藍芽耳機,243736,11.92,2026-4-23 03:50:45
38,延長線,243469,11.92,2026-4-23 03:50:25
39,洗髮精,239190,12.06,2026-4-23 05:04:54
40,(現貨),239078,36.19753,2024-4-26 09:50:18
41,現貨!,239078,1.2,2024-4-26 09:50:18
42,[現貨],239078,36.19753,2024-4-26 09:50:18
43,現貨|,238765,119.26859,2024-4-26 10:00:18
44,防曬外套,237412,13.86,2026-4-23 01:20:24
45,apple watch 錶帶,231597,12.06,2026-4-23 04:38:13
46,錢包,229594,13.86,2026-4-22 11:02:41
47,耳環,228324,11.92,2026-4-23 04:06:15
48,牙膏,227757,11.92,2026-4-23 03:59:37
49,化妝包,226375,13.86,2026-4-23 02:17:35
50,髮夾,224302,14.00,2026-4-23 12:31:33
51,牛仔褲,222418,11.92,2026-4-23 04:15:45
52,手機支架,220429,12.06,2026-4-23 04:54:19
53,貼紙,216602,12.06,2026-4-23 04:58:03
54,皮克敏,214402,13.86,2026-4-23 07:08:29
55,owala,213052,11.92,2026-4-23 11:12:18
56,衛生棉,212895,30.00,2026-4-23 12:14:27
57,鞋櫃,207891,13.86,2026-4-23 03:08:53
58,iphone 14 pro  手機殼,205813,67.47842,2024-4-26 10:00:19
59,沐浴乳,204081,12.06,2026-4-23 05:00:29
60,短版上衣,203763,13.86,2026-4-23 01:00:41
61,拍立得,201242,13.86,2026-4-23 04:47:47
62,套裝,198911,13.86,2026-4-23 04:01:28
63,牙刷,196952,20.12,2026-4-23 12:30:51
64,鉛筆盒,196598,13.86,2026-4-23 04:44:19
65,充電線,196013,11.92,2026-4-23 04:02:47
66,項鍊,194192,11.92,2026-4-23 03:37:25
67,短袖,193959,12.06,2026-4-23 05:04:04
68,飛機杯,193936,13.86,2026-4-23 12:02:29
69,洗衣球,191479,11.92,2026-4-23 03:32:44
70,地墊,187542,12.06,2026-4-23 05:07:25
71,卡套,184499,13.86,2026-4-23 04:55:42
72,大尺碼女裝,179890,13.86,2026-4-23 02:05:08
73,洞洞鞋,179228,13.86,2026-4-23 02:23:28
74,戒指,179049,14.00,2026-4-23 04:25:33
75,手錶,178921,13.86,2026-4-23 04:46:33
76,電池,178140,13.86,2026-4-23 03:59:23
77,夾鏈袋,177768,13.86,2026-4-23 04:18:00
78,泳衣,177691,11.92,2026-4-23 03:15:59
79,垃圾桶,176608,14.00,2026-4-23 04:34:30
80,室內拖鞋,173327,13.86,2026-4-23 04:14:47
81,蓮蓬頭,173136,13.86,2026-4-23 01:11:03
82,保險套,172897,13.86,2026-4-23 09:58:00
83,防曬,172575,25.00,2026-4-23 02:58:09
84,滑鼠墊,172316,11.92,2026-4-23 02:27:04
85,除濕機,171885,16.00,2026-4-23 12:07:18
86,泡麵,169276,13.86,2026-4-23 05:00:24
87,帽子,168960,12.06,2026-4-23 05:05:58
88,門簾,168833,12.06,2026-4-23 04:37:00
89,卡冊,167935,13.86,2026-4-23 03:27:12
90,吹風機,165887,11.92,2026-4-23 03:34:17
91,零錢包,163229,12.06,2026-4-23 04:48:48
92,收納箱,162280,13.86,2026-4-23 04:46:29
93,衣櫃,162017,13.86,2026-4-23 04:53:12
94,收納櫃,161481,13.86,2026-4-23 04:39:12
95,連身裙,160843,13.86,2026-4-23 01:40:35
96,上衣,160608,11.66,2026-4-23 12:02:07
97,涼鞋,160562,13.86,2026-4-23 04:19:55
98,側背包,159109,12.06,2026-4-23 04:50:06
99,背心袋,159007,11.92,2026-4-23 03:34:53
100,小米,157921,12.06,2026-4-23 04:53:09
101,雨傘,157203,11.92,2026-4-23 03:43:38
102,杜拜巧克力,155841,13.86,2026-4-23 04:00:16
103,膠帶,155246,13.86,2026-4-23 04:47:13
